match_id,division,matchday,side,team,goals,shots,distance_km,passes_attempted,passes_completed,passes_failed,pass_completion_rate_pct,possession_pct,tackeling_rate_pct,fouls,fouled,offside,corners
4588640,1,1,home,Bayern München,2,17,114.47,661,582,79,88.0,70.0,57.0,6,18,2,12
4588640,1,1,away,Hertha BSC,2,6,119.19,282,201,81,71.0,30.0,43.0,18,6,0,0
4588642,1,1,home,Borussia Dortmund,5,22,110.57,886,818,68,92.0,78.0,48.0,8,6,0,10
4588642,1,1,away,FC Augsburg,1,5,113.09,246,177,69,72.0,22.0,52.0,7,8,0,0
4588643,1,1,home,Bayer 04 Leverkusen,3,13,122.81,763,660,103,87.0,74.0,50.0,8,9,3,6
4588643,1,1,away,SC Paderborn 07,2,9,123.08,267,172,95,64.0,26.0,50.0,13,8,0,6
4588646,1,1,home,VfL Wolfsburg,2,15,116.85,377,281,96,75.0,47.0,50.0,15,18,3,2
4588646,1,1,away,1. FC Köln,1,11,111.96,411,312,99,76.0,53.0,50.0,18,15,1,6
4588649,1,1,home,Werder Bremen,1,24,115.24,639,558,81,87.0,67.0,51.0,9,13,2,14
4588649,1,1,away,Fortuna Düsseldorf,3,12,117.77,308,236,72,77.0,33.0,49.0,13,8,1,5
4588650,1,1,home,SC Freiburg,3,19,112.51,400,312,88,78.0,53.0,61.0,6,14,0,5
4588650,1,1,away,1. FSV Mainz 05,0,19,107.96,372,285,87,77.0,47.0,39.0,14,6,2,5
4588644,1,1,home,Bor. Mönchengladbach,0,16,112.24,519,418,101,81.0,60.0,48.0,10,10,1,8
4588644,1,1,away,FC Schalke 04,0,8,115.64,351,249,102,71.0,40.0,52.0,11,8,2,3
4588647,1,1,home,Eintracht Frankfurt,1,15,107.43,250,158,92,63.0,32.0,48.0,19,9,2,10
4588647,1,1,away,TSG Hoffenheim,0,9,109.15,567,468,99,83.0,68.0,52.0,9,16,4,5
4588651,1,1,home,1. FC Union Berlin,0,13,112.92,325,231,94,71.0,36.0,47.0,14,5,3,3
4588651,1,1,away,RB Leipzig,4,14,113.84,605,516,89,85.0,64.0,53.0,7,14,1,6
